105,439
107,458
117,240
119,458
120,463
122,458
125,264
150,129
152,196
154,144
156,191
159,406
162,104
163,175
168,108
169,116
170,377
176,203
177,175
179,199
181,175
182,21
190,200
197,176
198,176
199,175
202,176
203,190
206,466
209,176
212,61
216,398
218,202
22,160
221,196
222,128
224,192
227,137
236,388
237,355
24,318
242,408
243,381
248,321
25,115
252,375
255,361
259,387
26,339
261,417
262,165
266,242
269,468
27,2
272,34
273,125
281,124
284,457
288,329
289,388
290,159
292,153
294,280
297,363
299,361
306,175
308,121
31,313
312,165
316,296
322,383
328,172
331,354
332,350
334,370
337,461
339,462
34,318
341,367
342,353
343,190
345,198
347,190
348,322
349,141
35,367
350,165
38,85
39,448
52,272
57,460
60,115
64,453
72,176
73,176
74,176
79,131
81,175
90,259
99,79
