105,253
107,254
117,229
119,284
120,262
122,265
125,251
150,143
152,200
154,109
156,175
159,391
162,105
163,28
168,106
169,108
170,187
176,198
177,31
179,193
181,33
182,67
190,195
197,32
198,31
199,31
202,31
203,181
206,279
209,29
212,75
216,372
218,197
22,146
221,181
222,109
224,161
227,120
236,343
237,330
24,235
242,254
243,254
248,336
25,148
252,236
255,276
259,248
26,329
261,377
262,154
266,230
269,272
27,0
272,30
273,115
281,87
284,238
288,295
289,351
290,160
292,101
294,159
297,320
299,350
306,32
308,73
31,198
312,164
316,249
322,248
328,165
331,336
332,324
334,342
337,270
339,360
34,198
341,324
342,327
343,175
345,160
347,175
348,314
349,146
35,344
350,156
38,103
39,252
52,262
57,298
60,108
64,245
72,31
73,31
74,31
79,126
81,30
90,241
99,71
